date,open,high,low,close,volume
1712846700000,704.17,704.36,697.93,699.16,7.666
1712847600000,699.16,706.49,689.83,693.0,18.076
1712848500000,693.0,693.74,670.88,671.51,1410.553
1712849400000,671.51,672.18,649.71,652.67,1452.958
1712850300000,652.67,653.37,626.06,647.24,1367.807
1712851200000,647.24,658.77,634.98,637.86,653.949
1712852100000,637.86,642.46,621.45,625.37,954.721
1712853000000,625.37,632.63,618.87,623.59,1072.606
1712853900000,623.59,633.29,619.58,629.88,774.672
1712854800000,629.88,644.7,629.05,639.92,485.143
1712855700000,639.92,649.01,639.56,646.54,742.504
1712856600000,646.54,647.44,633.89,643.13,1049.533
1712857500000,643.13,644.34,635.13,635.5,786.868
1712858400000,635.5,646.59,632.86,643.18,893.796
1712859300000,643.18,647.41,639.09,644.45,290.645
1712860200000,644.45,646.15,638.35,639.04,602.405
1712861100000,639.04,639.16,632.87,637.24,645.593
1712862000000,637.24,637.45,626.47,627.68,369.99
1712862900000,627.68,633.87,622.92,632.0,1278.57
1712863800000,632.0,643.59,631.44,641.73,1237.844
1712864700000,641.73,641.95,632.97,638.96,886.473
1712865600000,638.96,639.9,631.99,637.74,625.803
1712866500000,637.74,643.13,634.16,642.76,1014.95
1712867400000,642.76,646.39,639.75,644.79,1429.513
1712868300000,644.79,653.06,643.94,651.72,1139.255
1712869200000,651.72,653.41,641.82,653.1,1531.923
1712870100000,653.1,670.91,653.1,656.67,2345.482
1712871000000,656.67,664.13,649.98,659.76,1548.977
1712871900000,659.76,664.48,645.48,651.02,1231.602
1712872800000,651.02,651.02,622.98,632.16,2495.617
1712873700000,632.16,639.66,626.96,628.4,1635.283
1712874600000,628.4,633.45,627.91,629.2,835.761
1712875500000,629.2,635.51,624.92,634.57,812.813
1712876400000,634.57,638.23,630.4,631.15,456.462
1712877300000,631.15,634.38,626.59,628.46,809.44
1712878200000,628.46,635.71,625.3,631.77,914.533
1712879100000,631.77,634.65,623.06,623.67,523.686
1712880000000,623.67,626.61,611.69,613.81,940.75
1712880900000,613.81,625.16,605.82,622.21,458.693
1712881800000,622.21,631.65,616.66,627.05,384.792
1712882700000,627.05,638.97,627.05,633.6,307.502
1712883600000,633.6,633.6,623.01,624.57,267.189
1712884500000,624.57,629.79,618.14,624.13,221.366
1712885400000,624.13,624.54,617.34,622.9,101.175
1712886300000,622.9,625.9,611.8,614.18,328.637
1712887200000,614.18,618.71,609.87,618.62,436.372
1712888100000,618.62,622.3,616.86,618.99,466.918
1712889000000,618.99,622.51,618.29,620.65,401.488
1712889900000,620.65,621.46,615.39,617.44,65.936
1712890800000,617.44,618.64,614.88,615.63,61.499
1712891700000,615.63,617.76,615.01,616.07,35.01
1712892600000,616.07,616.24,609.34,610.49,170.255
1712893500000,610.49,614.05,603.38,614.05,325.609
1712894400000,614.05,614.09,606.06,609.49,121.658
1712895300000,609.49,609.49,603.31,603.65,177.348
1712896200000,603.65,610.27,596.6,610.12,334.484
1712897100000,610.12,629.8,606.15,622.89,1096.398
1712898000000,622.89,639.1,617.56,632.54,567.579
1712898900000,632.54,636.6,627.98,631.1,164.178
1712899800000,631.1,633.95,629.28,633.95,48.293
1712900700000,633.95,634.61,629.58,630.16,65.223
1712901600000,630.16,633.62,627.85,627.85,258.894
1712902500000,627.85,644.59,627.42,637.29,798.592
1712903400000,637.29,638.04,625.17,625.17,296.876
1712904300000,625.17,629.67,623.08,624.71,200.465
1712905200000,624.71,636.23,624.71,634.31,171.081
1712906100000,634.31,639.03,630.81,637.37,46.75
1712907000000,637.37,644.12,635.4,641.78,269.867
1712907900000,641.78,641.78,632.91,638.41,151.038
1712908800000,638.41,639.82,631.25,633.59,301.934
1712909700000,633.59,642.41,632.82,641.74,115.723
1712910600000,641.74,643.73,636.05,641.16,256.857
1712911500000,641.16,642.82,628.16,631.51,775.218
1712912400000,631.51,635.98,628.98,634.77,266.275
1712913300000,634.77,637.94,631.39,634.14,139.206
1712914200000,634.14,641.45,622.15,627.23,1262.269
1712915100000,627.23,627.23,617.5,624.67,475.024
1712916000000,624.67,626.8,618.51,622.52,207.175
1712916900000,622.52,623.32,619.99,623.2,28.3
1712917800000,623.2,623.71,619.64,621.38,211.627
1712918700000,621.38,621.84,615.15,621.43,235.21
1712919600000,621.43,621.9,615.88,618.34,196.86
1712920500000,618.34,618.6,613.56,614.42,190.52
1712921400000,614.42,618.83,613.82,617.26,72.147
1712922300000,617.26,618.57,613.6,614.72,177.131
1712923200000,614.72,614.93,608.95,609.22,651.233
1712924100000,609.22,610.3,603.07,603.41,451.121
1712925000000,603.41,603.94,586.9,589.85,1145.949
1712925900000,589.85,597.46,589.37,594.33,455.91
1712926800000,594.33,595.19,556.64,570.04,2127.176
1712927700000,570.04,573.74,562.62,571.87,552.001
1712928600000,571.87,585.13,566.99,573.97,1482.904
1712929500000,573.97,580.29,571.9,571.91,542.109
1712930400000,571.91,588.64,570.76,588.21,634.704
1712931300000,588.21,588.21,580.68,584.66,306.38
1712932200000,584.66,586.09,575.25,576.02,661.545
1712933100000,576.02,587.21,574.28,579.39,371.057
1712934000000,579.39,583.83,577.86,578.35,91.179
1712934900000,578.35,583.07,569.15,573.07,770.146
1712935800000,573.07,577.58,567.85,575.4,881.187
1712936700000,575.4,578.25,572.82,572.82,194.712
1712937600000,572.82,585.31,572.73,575.25,697.922
1712938500000,575.25,586.9,574.16,584.0,295.134
1712939400000,584.0,599.5,584.0,590.89,275.996
1712940300000,590.89,597.18,576.63,579.79,1022.494
1712941200000,579.79,585.12,579.38,583.29,155.568
1712942100000,583.29,583.29,556.06,566.99,936.2
1712943000000,566.99,582.04,565.47,582.04,600.217
1712943900000,582.04,582.86,569.75,575.39,563.483
1712944800000,575.39,583.25,575.39,577.36,107.796
1712945700000,577.36,581.59,572.44,576.95,199.888
1712946600000,576.95,577.08,467.29,525.65,5220.286
1712947500000,525.65,537.23,512.14,534.35,1716.934
1712948400000,534.35,543.63,524.7,539.66,404.016
1712949300000,539.66,546.07,526.96,534.22,1601.63
1712950200000,534.22,537.19,523.61,529.89,761.324
1712951100000,529.89,541.29,526.66,537.91,369.302
1712952000000,537.91,538.35,523.87,535.51,191.629
1712952900000,535.51,536.94,529.03,533.06,134.046
1712953800000,533.06,548.0,531.23,547.07,292.087
1712954700000,547.07,549.72,541.22,546.71,167.637
1712955600000,546.71,549.18,539.62,543.83,73.649
1712956500000,543.83,548.23,541.41,547.66,52.362
1712957400000,547.66,549.9,546.45,549.9,33.503
1712958300000,549.9,553.51,547.22,550.29,67.933
1712959200000,550.29,552.34,549.18,551.22,25.176
1712960100000,551.22,551.58,545.26,545.26,44.174
1712961000000,545.26,548.22,539.79,545.68,104.12
1712961900000,545.68,547.69,543.16,547.24,58.631
1712962800000,547.24,547.24,536.79,544.08,174.392
1712963700000,544.08,544.73,540.19,543.7,59.364
1712964600000,543.7,544.89,538.45,539.41,82.429
1712965500000,539.41,543.1,536.31,538.03,45.886
