timestamp,open,high,low,close,volume,HA_Close,HA_Open,HA_High,HA_Low,EMA_Fast,EMA_Slow,MACD_Line,Signal_Line,readable_date
1738265400000,3268.32,3268.32,3254.39,3259.39,8051.75,3262.605,3268.32,3268.32,3254.39,3262.605,3262.605,0.0,0.0,2025-01-30 19:30:00
1738266300000,3259.39,3271.79,3258.81,3269.99,6110.43,3264.995,3263.855,3271.79,3258.81,3264.995,3262.7591935483874,0.19065527065504284,0.03813105413100857,2025-01-30 19:45:00
1738267200000,3269.99,3271.87,3261.0,3264.71,6665.55,3266.8925,3264.6899999999996,3271.87,3261.0,3266.8925,3263.02585848075,0.4892238699362679,0.12834961729206043,2025-01-30 20:00:00
1738268100000,3264.71,3269.7,3255.69,3256.97,4019.41,3261.7675,3267.35,3269.7,3255.69,3261.7675,3262.944674062637,0.3087380275501346,0.16442729934367528,2025-01-30 20:15:00
1738269000000,3256.97,3257.27,3226.0,3230.05,45978.16,3242.5725,3260.84,3260.84,3226.0,3242.5725,3261.630340252145,-1.3674117125251541,-0.14194050303009062,2025-01-30 20:30:00
1738269900000,3230.05,3247.98,3227.46,3230.35,36910.35,3233.9600000000005,3243.51,3247.98,3227.46,3233.9600000000005,3259.845157010071,-3.352088440931311,-0.7839700906103347,2025-01-30 20:45:00
1738270800000,3230.35,3239.66,3229.95,3235.99,18553.65,3233.9874999999997,3230.2,3239.66,3229.95,3233.9874999999997,3258.1769210739376,-4.866640425399055,-1.600504157568079,2025-01-30 21:00:00
1738271700000,3235.99,3242.97,3234.72,3239.36,3296.15,3238.2599999999998,3233.17,3242.97,3233.17,3238.2599999999998,3256.8919584240066,-5.65696872747003,-2.4117970715484693,2025-01-30 21:15:00
1738272600000,3239.36,3247.12,3237.0,3243.48,9266.74,3241.74,3237.675,3247.12,3237.0,3241.74,3255.914412719232,-5.934098095446643,-3.1162572763281045,2025-01-30 21:30:00
1738273500000,3243.48,3244.28,3233.6,3243.47,4311.23,3241.2075,3241.42,3244.28,3233.6,3241.2075,3254.9655796405723,-6.12607582710325,-3.718220986483134,2025-01-30 21:45:00
1738274400000,3243.47,3245.47,3237.11,3245.47,1785.84,3242.8799999999997,3243.475,3245.47,3237.11,3242.8799999999997,3254.1858648250513,-6.073254097465906,-4.189227608679689,2025-01-30 22:00:00
1738275300000,3245.47,3248.75,3242.09,3247.01,3531.78,3245.83,3244.47,3248.75,3242.09,3245.83,3253.6467767718227,-5.727331043220147,-4.49684829558778,2025-01-30 22:15:00
1738276200000,3247.01,3269.71,3247.01,3268.55,36842.49,3258.0699999999997,3246.24,3269.71,3246.24,3258.0699999999997,3253.93214601235,-4.414629721025449,-4.480404580675314,2025-01-30 22:30:00
1738277100000,3268.55,3270.92,3257.21,3259.62,6401.9,3264.075,3257.78,3270.92,3257.21,3264.075,3254.586523688973,-2.856819514508061,-4.155687567441864,2025-01-30 22:45:00
1738278000000,3259.62,3269.0,3257.19,3260.0,13774.63,3261.4525,3264.085,3269.0,3257.19,3261.4525,3255.029489902588,-1.8129588739084284,-3.6871418287351765,2025-01-30 23:00:00
1738278900000,3260.0,3268.36,3260.0,3260.93,2058.79,3262.3225,3259.81,3268.36,3259.81,3262.3225,3255.500006683066,-0.9050571312859574,-3.1307248892453328,2025-01-30 23:15:00
1738279800000,3260.93,3261.01,3254.43,3255.0,4822.19,3257.8425,3260.465,3261.01,3254.43,3257.8425,3255.651135284159,-0.5408029781629011,-2.612740507028847,2025-01-30 23:30:00
1738280700000,3255.0,3255.0,3243.92,3245.87,10220.51,3249.9475,3257.965,3257.965,3243.92,3249.9475,3255.2831588142135,-0.8790562430585851,-2.2660036542347948,2025-01-30 23:45:00
1738281600000,3245.87,3256.76,3236.81,3239.35,12017.38,3244.6975,3250.435,3256.76,3236.81,3244.6975,3254.6002130842644,-1.5528551686252285,-2.123373957112882,2025-01-31 00:00:00
1738282500000,3239.35,3260.46,3236.58,3258.19,10302.74,3248.645,3242.6099999999997,3260.46,3236.58,3248.645,3254.2160057885058,-1.7481636696411442,-2.0483318996185345,2025-01-31 00:15:00
1738283400000,3258.19,3263.21,3251.68,3259.56,8310.7,3258.16,3248.77,3263.21,3248.77,3258.16,3254.470457027957,-1.1222297183612682,-1.8631114633670813,2025-01-31 00:30:00
1738284300000,3259.56,3270.0,3259.42,3269.19,22769.94,3264.5425,3258.875,3270.0,3258.875,3264.5425,3255.12026625196,-0.10989138367358464,-1.5124674474283821,2025-01-31 00:45:00
1738285200000,3269.19,3272.67,3260.0,3261.64,9193.3,3265.875,3264.375,3272.67,3260.0,3265.875,3255.8141200421564,0.790799805995448,-1.0518139967436162,2025-01-31 01:00:00
1738286100000,3261.64,3263.5,3253.0,3262.76,4293.61,3260.225,3265.415,3265.415,3253.0,3260.225,3256.0986929426626,1.0367453271774139,-0.6341021319594102,2025-01-31 01:15:00
1738287000000,3262.76,3270.0,3262.76,3265.77,5144.53,3265.3225,3262.2,3270.0,3262.2,3265.3225,3256.693777268943,1.6242611021530138,-0.18242948513692536,2025-01-31 01:30:00
1738287900000,3265.77,3270.58,3260.83,3269.58,2404.95,3266.69,3264.2650000000003,3270.58,3260.83,3266.69,3257.3386948644957,2.17514370531444,0.2890851529533477,2025-01-31 01:45:00
1738288800000,3269.58,3278.49,3268.72,3269.03,10643.57,3271.455,3267.675,3278.49,3267.675,3271.455,3258.249424228077,2.9620728820896147,0.8236826987806011,2025-01-31 02:00:00
1738289700000,3269.03,3269.82,3253.47,3256.42,9607.83,3262.185,3269.3050000000003,3269.82,3253.47,3262.185,3258.5033323423945,2.805369839596551,1.2200201269437914,2025-01-31 02:15:00
1738290600000,3256.42,3257.2,3245.52,3251.17,9893.41,3252.5775,3262.7250000000004,3262.7250000000004,3245.52,3252.5775,3258.121020578369,1.8842165175337868,1.3528594050617906,2025-01-31 02:30:00
1738291500000,3251.17,3257.05,3246.5,3246.62,3871.92,3250.335,3253.795,3257.05,3246.5,3250.335,3257.6186966700875,0.9621537550342509,1.2747182750562827,2025-01-31 02:45:00
1738292400000,3246.62,3246.62,3232.32,3237.6,19947.21,3240.79,3248.895,3248.895,3232.32,3240.79,3256.5329743042757,-0.5326493068109812,0.91324475868283,2025-01-31 03:00:00
1738293300000,3237.6,3238.78,3224.24,3228.79,24529.24,3232.3525,3242.1099999999997,3242.1099999999997,3224.24,3232.3525,3254.972943704,-2.3707981523389208,0.2564361764784798,2025-01-31 03:15:00
1738294200000,3228.79,3231.55,3219.75,3226.91,18692.83,3226.75,3233.1949999999997,3233.1949999999997,3219.75,3226.75,3253.152108626323,-4.230848693394819,-0.6410207974961799,2025-01-31 03:30:00
1738295100000,3226.91,3233.94,3226.81,3229.54,7131.13,3229.3,3227.85,3233.94,3226.81,3229.3,3251.613262908496,-5.436519645010321,-1.6001205669990082,2025-01-31 03:45:00
1738296000000,3229.54,3229.54,3221.51,3227.16,5816.59,3226.9375,3228.225,3229.54,3221.51,3226.9375,3250.021278204722,-6.507640537073257,-2.581624561013858,2025-01-31 04:00:00
1738296900000,3227.16,3234.13,3218.0,3232.15,7867.13,3227.86,3228.35,3234.13,3218.0,3227.86,3248.591518320546,-7.199086927867938,-3.5051170343846745,2025-01-31 04:15:00
1738297800000,3232.15,3232.96,3223.94,3224.0,3523.99,3228.2625000000003,3229.6549999999997,3232.96,3223.94,3228.2625000000003,3247.279968751479,-7.626669291847975,-4.329427485877335,2025-01-31 04:30:00
1738298700000,3224.0,3224.3,3212.59,3215.3,15527.46,3219.0474999999997,3228.075,3228.075,3212.59,3219.0474999999997,3245.4585191546093,-8.609855824404349,-5.185513153582738,2025-01-31 04:45:00
1738299600000,3215.3,3236.0,3214.56,3232.51,10455.0,3224.5925,3219.65,3236.0,3214.56,3224.5925,3244.112324370441,-8.839704465872273,-5.916351416040645,2025-01-31 05:00:00
1738300500000,3232.51,3242.57,3232.51,3237.75,9483.86,3236.335,3223.905,3242.57,3223.905,3236.335,3243.6105615078322,-7.982324290773704,-6.329545990987257,2025-01-31 05:15:00
1738301400000,3237.75,3243.44,3233.91,3239.72,4648.56,3238.705,3235.13,3243.44,3233.91,3238.705,3243.2940736686173,-7.0305611987068914,-6.469749032531184,2025-01-31 05:30:00
1738302300000,3239.72,3247.32,3238.01,3244.32,8715.29,3242.3424999999997,3238.7349999999997,3247.32,3238.01,3242.3424999999997,3243.2326818190295,-5.914586568755112,-6.35871653977597,2025-01-31 05:45:00
1738303200000,3244.32,3248.61,3240.13,3242.52,14880.43,3243.8950000000004,3242.02,3248.61,3240.13,3243.8950000000004,3243.2754120242535,-4.848998621428109,-6.056772956106398,2025-01-31 06:00:00
1738304100000,3242.52,3247.43,3240.1,3244.79,4203.95,3243.71,3243.42,3247.43,3240.1,3243.71,3243.303449958173,-3.97363486074255,-5.640145337033629,2025-01-31 06:15:00
1738305000000,3244.79,3266.42,3244.79,3266.18,27648.65,3255.545,3243.6549999999997,3266.42,3243.6549999999997,3255.545,3244.093227380227,-2.298422400253912,-4.971800749677686,2025-01-31 06:30:00
1738305900000,3266.18,3270.48,3258.76,3261.34,14213.43,3264.19,3255.4849999999997,3270.48,3255.4849999999997,3264.19,3245.3897933556964,-0.2701115277882309,-4.0314629052997955,2025-01-31 06:45:00
1738306800000,3261.34,3266.0,3256.0,3264.6,7082.4,3261.985,3263.76,3266.0,3256.0,3261.985,3246.4604518488773,1.1462016803006918,-2.9959299881796984,2025-01-31 07:00:00
